word,phonemes,difficulty
مُحَمَّد,m-u-ħ-a-m-m-a-d,medium
نَكْتَفِي,n-a-k-t-a-f-iː,low
بِمَغْفِرَةٍ,b-i-m-a-ɣ-f-i-r-a,medium
وَيَتَمَثَّل,w-a-j-a-t-a-m-a-θ-θ-a-l,medium
وَوُضُوحِهِ,w-a-w-u-dˤ-uː-ħ-i-h-i,medium
مَرْكَزِهَا,m-a-r-k-a-z-i-h-aː,low
أَبْنِيَةِ,ʔ-a-b-n-i-j-a,medium
فَعَّال,f-a-ʕ-ʕ-aː-l,medium
لِلدُّخُولِ,l-i-l-d-d-u-x-uː-l-i,low
عَضَلِيَّةً,ʕ-a-dˤ-a-l-i-j-j-a,medium
بَعِيدَةِ,b-a-ʕ-iː-d-a,medium
وَاسْتُطِيرَ,w-aː-s-t-u-tˤ-iː-r-a,medium
شُذُوذًا,ʃ-u-ð-uː-ð-a-n,medium
الرَّافِدَيْنِ,a-r-r-aː-f-i-d-a-j-n-i,low
مَعْلُومَةٍ,m-a-ʕ-l-uː-m-a,medium
لَئِنْ,l-a-ʔ-i-n,medium
وَتَقْوِيَةِ,w-a-t-a-q-w-i-j-a,medium
الزِّرَاعَةِ,a-z-z-i-r-aː-ʕ-a,medium
فَرِحًا,f-a-r-i-ħ-a-n,medium
عَثَرَتْ,ʕ-a-θ-a-r-a-t,medium
يَظْهَرَانِ,j-a-ðˤ-h-a-r-aː-n-i,medium
الْكُسَعِيّ,a-l-k-u-s-a-ʕ-i-j-j,medium
مُنْتَصَفِ,m-u-n-t-a-sˤ-a-f-i,medium
لِلْبَدْءِ,l-i-l-b-a-d-ʔ-i,medium
الاِتِّحَادِ,a-l-t-t-i-ħ-aː-d-i,medium
إِدْرَاكِنَا,ʔ-i-d-r-aː-k-i-n-aː,medium
الشَّجَرِ,a-ʃ-ʃ-a-dʒ-a-r-i,low
الْمَنُون,a-l-m-a-n-uː-n,low
حَرْفُ,ħ-a-r-f-u,medium
فحَقَدها,f-ħ-a-q-a-d-h,medium
صَلْد,sˤ-a-l-d,medium
فَيَسْقُطُونَ,f-a-j-a-s-q-u-tˤ-uː-n-a,medium
وَيُلْقِيه,w-a-j-u-l-q-iː-h,medium
الْإِحْرَاجِ,a-l-ʔ-i-ħ-r-aː-dʒ-i,medium
وَضَعْتُ,w-a-dˤ-a-ʕ-t-u,medium
وَمَرَّ,w-a-m-a-r-r-a,low
لِتَتَوَفَّرَ,l-i-t-a-t-a-w-a-f-f-a-r-a,low
الْفِقْهِ,a-l-f-i-q-h-i,medium
وَتِجَارِيًّا,w-a-t-i-dʒ-aː-r-i-j-j-a-n,low
الْوَحِيدُ,a-l-w-a-ħ-iː-d-u,medium
وَفَرَسٌ,w-a-f-a-r-a-s-u-n,low
المَغرِبِ,a-l-m-a-ɣ-r-i-b-i,medium
وَالنَّعِيمَ,w-aː-l-n-n-a-ʕ-iː-m-a,medium
يُخَالِفُ,j-u-x-aː-l-i-f-u,low
شُعَاعاً,ʃ-u-ʕ-aː-ʕ,medium
رَحِمَهُمُ,r-a-ħ-i-m-a-h-u-m-u,medium
سَرِيعاً,s-a-r-iː-ʕ,medium
وَتَتَوَفَّرُ,w-a-t-a-t-a-w-a-f-f-a-r-u,low
وَرُسُلِهِ,w-a-r-u-s-u-l-i-h-i,low
الْغَزَالِيِّ,a-l-ɣ-a-z-aː-l-i-j-j-i,medium
سَائِرَهُنَّ,s-aː-ʔ-i-r-a-h-u-n-n-a,medium
مَكْتَبَاتِنَا,m-a-k-t-a-b-aː-t-i-n-aː,low
انْتَشَرَتْ,n-t-a-ʃ-a-r-a-t,low
وَبَتِيل,w-a-b-a-t-iː-l,low
وَفَسَالَتِهِ,w-a-f-a-s-aː-l-a-t-i-h-i,low
كُفَّ,k-u-f-f-a,low
الْجَانِي,a-l-dʒ-aː-n-iː,low
وَيُخْرِجُهُمْ,w-a-j-u-x-r-i-dʒ-u-h-u-m,low
وَشَفَة,w-a-ʃ-a-f-a,low
وَتَفَاصَحَ,w-a-t-a-f-aː-sˤ-a-ħ-a,medium
صُوفِيٍّ,sˤ-uː-f-i-j-j-i-n,medium
صُدُورُ,sˤ-u-d-uː-r-u,medium
لِكَثِيرٍ,l-i-k-a-θ-iː-r-i-n,medium
وَأُشْرِبَ,w-a-ʔ-u-ʃ-r-i-b-a,medium
تَوْحِيدَ,t-a-w-ħ-iː-d-a,medium
لَطَائِم,l-a-tˤ-aː-ʔ-i-m,medium
تُوُفِّيَتْ,t-uː-f-f-i-j-a-t,low
نَقْلُ,n-a-q-l-u,medium
وَالِانْتِصَارَ,w-aː-l-i-n-t-i-sˤ-aː-r-a,medium
كَلْبَة,k-a-l-b-a,low
لَيْلَتِهِ,l-a-j-l-a-t-i-h-i,low
جَائِزٌ؛,dʒ-aː-ʔ-i-z-u-n,medium
أُمم,ʔ-u-m-m,medium
النَّادِرِ,a-n-n-aː-d-i-r-i,low
أَمَانَتُهُ,ʔ-a-m-aː-n-a-t-u-h-u,medium
فَيَقُومُ,f-a-j-a-q-uː-m-u,medium
وَطَلِيَ,w-a-tˤ-a-l-i-j-a,medium
سَيِّئَات,s-a-j-j-i-ʔ-aː-t,medium
وَتَفَاهَةَ,w-a-t-a-f-aː-h-a,low
اللَّذَانِ,a-l-l-a-ð-aː-n-i,medium
مُكْرَهٍ,m-u-k-r-a-h-i-n,low
الْهَيْئَاتِ,a-l-h-a-j-ʔ-aː-t-i,medium
الْوَشِيقُ,a-l-w-a-ʃ-iː-q-u,medium
ضَبْطِ,dˤ-a-b-tˤ-i,medium
يُنَاضِلُ,j-u-n-aː-dˤ-i-l-u,medium
مُفْرَدٌ,m-u-f-r-a-d-u-n,low
أَرَيَنَّكَ,ʔ-a-r-a-j-a-n-n-a-k-a,medium
مَدْخَلًا,m-a-d-x-a-l-a-n,low
الْإِتْقَانَ,a-l-ʔ-i-t-q-aː-n-a,medium
إِدْرَاكَ,ʔ-i-d-r-aː-k-a,medium
وَنَفَّرَ,w-a-n-a-f-f-a-r-a,low
خَشُنَتْ,x-a-ʃ-u-n-a-t,low
يُوصِلَانِ,j-uː-sˤ-i-l-aː-n-i,medium
وَالْعَرَقَ,w-aː-l-ʕ-a-r-a-q-a,medium
وَإِجْبَارِنَا,w-a-ʔ-i-dʒ-b-aː-r-i-n-aː,medium
تَقْبَلَ,t-a-q-b-a-l-a,medium
وَنَزَغَهُ,w-a-n-a-z-a-ɣ-a-h-u,medium
وَطَلَيَان,w-a-tˤ-a-l-a-j-aː-n,medium
بِالصِّرَاعِ,b-i-l-sˤ-sˤ-i-r-aː-ʕ-i,high
وَكَوْكَبهُمْ,w-a-k-a-w-k-a-b-h-u-m,low
عَلَيْنَا,ʕ-a-l-a-j-n-aː,medium
عَجَفْت,ʕ-a-dʒ-a-f-t,medium
بِلِبَاسٍ,b-i-l-i-b-aː-s-i-n,low
خَطِيرَات,x-a-tˤ-iː-r-aː-t,medium
وَنَصَحْتُ,w-a-n-a-sˤ-a-ħ-t-u,medium
يَسْتَنِدُ,j-a-s-t-a-n-i-d-u,low
وَاجْتَمَعُوا,w-aː-dʒ-t-a-m-a-ʕ-uː,medium
التَّعَسُّفُ,a-t-t-a-ʕ-a-s-s-u-f-u,medium
وَيَتَبَخْتَرُ,w-a-j-a-t-a-b-a-x-t-a-r-u,low
لِتَدْخِينِ,l-i-t-a-d-x-iː-n-i,low
جَهَازِهِ,dʒ-a-h-aː-z-i-h-i,low
يَبْغُضُ,j-a-b-ɣ-u-dˤ-u,medium
وَذُقْت,w-a-ð-u-q-t,medium
التَّيَّارَاتِ,a-t-t-a-j-j-aː-r-aː-t-i,low
أَسْتَطِيعُ,ʔ-a-s-t-a-tˤ-iː-ʕ-u,high
تَعرِضُ,t-a-ʕ-r-i-dˤ-u,medium
يَنْتَفِضُ,j-a-n-t-a-f-i-dˤ-u,medium
بِالْمُعَامِلِ,b-i-l-m-u-ʕ-aː-m-i-l-i,medium
الْقِصَاصَ,a-l-q-i-sˤ-aː-sˤ-a,high
وَدِرْع,w-a-d-i-r-ʕ,medium
رَأْيِي,r-a-ʔ-j-iː,medium
الْفَرَجَ,a-l-f-a-r-a-dʒ-a,low
حَرْبٌ,ħ-a-r-b-u-n,medium
لِكِبْرِيَاءِ,l-i-k-i-b-r-i-j-aː-ʔ-i,medium
بِدَوْرِهَا,b-i-d-a-w-r-i-h-aː,low
الرُّقِيُّ,a-r-r-u-q-i-j-j-u,medium
سَأَلْتهُ,s-a-ʔ-a-l-t-h-u,medium
بِالتَّيَّارِ,b-i-l-t-t-a-j-j-aː-r-i,low
فُنُون,f-u-n-uː-n,low
أَرْجَفُوا,ʔ-a-r-dʒ-a-f-uː,medium
مَرِيضِي,m-a-r-iː-dˤ-iː,medium
اِمْتَصَصْتَهُ,m-t-a-sˤ-a-sˤ-t-a-h-u,medium
الْأوَّلَ,a-l-ʔ-a-w-w-a-l-a,medium
نَفَاذ,n-a-f-aː-ð,medium
وَهَدْهَدَتْهُ,w-a-h-a-d-h-a-d-a-t-h-u,low
يُبَيِّنْهُ,j-u-b-a-j-j-i-n-h-u,low
بِرْلِينَ,b-i-r-l-iː-n-a,low
مرْصَد,m-r-sˤ-a-d,medium
وَالْحِدَّةِ,w-aː-l-ħ-i-d-d-a,medium
صُورَتَهُ,sˤ-uː-r-a-t-a-h-u,medium
قَادِر,q-aː-d-i-r,medium
الإِنسَانَ,a-l-ʔ-i-n-s-aː-n-a,medium
وَانْخِفَاضِ,w-aː-n-x-i-f-aː-dˤ-i,medium
وَأَجْمَعَهُ,w-a-ʔ-a-dʒ-m-a-ʕ-a-h-u,medium
نَاقَشَ,n-aː-q-a-ʃ-a,medium
اغْفِرْ,ɣ-f-i-r,medium
بِالْوَلَاءِ,b-i-l-w-a-l-aː-ʔ-i,medium
مَادَّة,m-aː-d-d-a,low
وَوَضَعَتْهُ,w-a-w-a-dˤ-a-ʕ-a-t-h-u,medium
يامَنْ,j-m-a-n,low
وَعَرَفْتُ,w-a-ʕ-a-r-a-f-t-u,medium
نَدَّعِي,n-a-d-d-a-ʕ-iː,medium
وَعَظْمٍ,w-a-ʕ-a-ðˤ-m-i-n,medium
عَلَيْهِ؛,ʕ-a-l-a-j-h-i,medium
مُلُوحَةَ,m-u-l-uː-ħ-a,medium
التَّعَلُّقُ,a-t-t-a-ʕ-a-l-l-u-q-u,medium
سِيَادَتِهَا,s-i-j-aː-d-a-t-i-h-aː,low
الْكَسَالَى,a-l-k-a-s-aː-l-aː,low
الْمَلْسَاءِ,a-l-m-a-l-s-aː-ʔ-i,medium
مُطَوَّلَة,m-u-tˤ-a-w-w-a-l-a,medium
صَوَارِيخَ,sˤ-a-w-aː-r-iː-x-a,medium
التَّسَخُّطَ,a-t-t-a-s-a-x-x-u-tˤ-a,medium
وَاسْتِيضَاحٍ,w-aː-s-t-iː-dˤ-aː-ħ-i-n,medium
مَفْعُولٌ,m-a-f-ʕ-uː-l-u-n,medium
رُمُوزِهِ,r-u-m-uː-z-i-h-i,low
عَدِمَهُ,ʕ-a-d-i-m-a-h-u,medium
التَّأْثِيرَ,a-t-t-a-ʔ-θ-iː-r-a,medium
الْفَاتِحَةَ,a-l-f-aː-t-i-ħ-a,medium
لِلْبَرْهَنَةِ,l-i-l-b-a-r-h-a-n-a,low
زَوْجَةٍ,z-a-w-dʒ-a,low
عِزّاً,ʕ-i-z-z,medium
مَنْهِيُّونَ,m-a-n-h-i-j-j-uː-n-a,low
فَيَتْبَعُهَا,f-a-j-a-t-b-a-ʕ-u-h-aː,medium
عَقَاقِيرِ,ʕ-a-q-aː-q-iː-r-i,high
السَّاحَة,a-s-s-aː-ħ-a,medium
فَلْيُغَيِّرْهُ,f-a-l-j-u-ɣ-a-j-j-i-r-h-u,medium
مَدَارِكَهُ,m-a-d-aː-r-i-k-a-h-u,low
قَادُوا,q-aː-d-uː,medium
وَتَكُونَ,w-a-t-a-k-uː-n-a,low
تُفْهَمَ,t-u-f-h-a-m-a,low
يَخْرِم,j-a-x-r-i-m,low
هَاجِسُ,h-aː-dʒ-i-s-u,low
الصَّيْفَ,a-sˤ-sˤ-a-j-f-a,medium
وَيُصَادِرُ,w-a-j-u-sˤ-aː-d-i-r-u,medium
وَوَشَقْتُ,w-a-w-a-ʃ-a-q-t-u,medium
مَعَايِيرُ,m-a-ʕ-aː-j-iː-r-u,medium
الثَّقِيلِ,a-θ-θ-a-q-iː-l-i,high
شَطَّتْ,ʃ-a-tˤ-tˤ-a-t,medium
وَمُتَجَدِّدًا,w-a-m-u-t-a-dʒ-a-d-d-i-d-a-n,low
وَيَذْبَحُ,w-a-j-a-ð-b-a-ħ-u,medium
تَأْكُلُوا,t-a-ʔ-k-u-l-uː,medium
الْخَطَأَ,a-l-x-a-tˤ-a-ʔ-a,medium
الْقِدِّيسُ,a-l-q-i-d-d-iː-s-u,medium
أَعْزَلُ,ʔ-a-ʕ-z-a-l-u,medium
التَّرْكِيبِيَّةِ,a-t-t-a-r-k-iː-b-i-j-j-a,low
أَقْبَح,ʔ-a-q-b-a-ħ,high
وَعَمَلِ,w-a-ʕ-a-m-a-l-i,medium
وَاجَهَتْ,w-aː-dʒ-a-h-a-t,low
يَعْتَدِلُ,j-a-ʕ-t-a-d-i-l-u,medium
وَيَفْتَرِضُ,w-a-j-a-f-t-a-r-i-dˤ-u,medium
طَلَبٍ,tˤ-a-l-a-b-i-n,medium
مَكْذُوب,m-a-k-ð-uː-b,medium
الْعَقَبَةِ,a-l-ʕ-a-q-a-b-a,medium
تَمْتَدَّ,t-a-m-t-a-d-d-a,low
النَّخِيلِ,a-n-n-a-x-iː-l-i,low
وَجُزْئِيَّةً,w-a-dʒ-u-z-ʔ-i-j-j-a,medium
شِعْرِ,ʃ-i-ʕ-r-i,medium
الْمِسْك,a-l-m-i-s-k,low
وَالْأَعَاصِيرُ,w-aː-l-ʔ-a-ʕ-aː-sˤ-iː-r-u,high
أَحَسَّ,ʔ-a-ħ-a-s-s-a,medium
وَالنَّحْلِ,w-aː-l-n-n-a-ħ-l-i,medium
وَتَلَجَّفَ,w-a-t-a-l-a-dʒ-dʒ-a-f-a,low
تَنَاوَلُوا,t-a-n-aː-w-a-l-uː,low
نَقِيسَ,n-a-q-iː-s-a,medium
مُتَّصِل,m-u-t-t-a-sˤ-i-l,medium
بِرِجْلِهِ,b-i-r-i-dʒ-l-i-h-i,low
التَّرْكِيبَ,a-t-t-a-r-k-iː-b-a,low
الْعَرِيكَة,a-l-ʕ-a-r-iː-k-a,medium
التَّنْظِيمَ,a-t-t-a-n-ðˤ-iː-m-a,medium
مَشْدُودِينَ,m-a-ʃ-d-uː-d-iː-n-a,low
مَسَارَهَا,m-a-s-aː-r-a-h-aː,low
تَوْسِيعَ,t-a-w-s-iː-ʕ-a,medium
الِانْتِقَالُ,a-l-n-t-i-q-aː-l-u,medium
كَالدَّوَافِعِ,k-aː-l-d-d-a-w-aː-f-i-ʕ-i,medium
السَّلَامِ,a-s-s-a-l-aː-m-i,low
وَمَغْفِرَةٍ,w-a-m-a-ɣ-f-i-r-a,medium
الصِّلَاتُ,a-sˤ-sˤ-i-l-aː-t-u,medium
ياكَرِيمُ,j-k-a-r-iː-m-u,low
فَالْكَوْنُ,f-aː-l-k-a-w-n-u,low
قُفِلَ,q-u-f-i-l-a,medium
دَاعِمٌ,d-aː-ʕ-i-m-u-n,medium
مَذْهَبه,m-a-ð-h-a-b-h,medium
قَارِئ,q-aː-r-i-ʔ-i,medium
مُنْكِرَة,m-u-n-k-i-r-a,low
وَالِاطْمِئْنَانِ,w-aː-l-i-tˤ-m-i-ʔ-n-aː-n-i,medium
أَدَاتَهُ,ʔ-a-d-aː-t-a-h-u,medium
السَّبْتَ,a-s-s-a-b-t-a,low
فِقْرَة,f-i-q-r-a,medium
وَفَاكِهَةً,w-a-f-aː-k-i-h-a,low
وَالْأَلْبَابِ,w-aː-l-ʔ-a-l-b-aː-b-i,medium
وَمَجِعَتْ,w-a-m-a-dʒ-i-ʕ-a-t,medium
لِتَلْفِتَنَا,l-i-t-a-l-f-i-t-a-n-aː,low
قَرَأْتَ,q-a-r-a-ʔ-t-a,medium
وَخَفَّ,w-a-x-a-f-f-a,low
إِلَى,ʔ-i-l-aː,medium
بَارِزٌ,b-aː-r-i-z-u-n,low
فَأَرْصَدَ,f-a-ʔ-a-r-sˤ-a-d-a,medium
وَمِثْلانِ,w-a-m-i-θ-l-n-i,medium
أَرَاضِيهِمْ,ʔ-a-r-aː-dˤ-iː-h-i-m,medium
اِفْتَعَلَ,f-t-a-ʕ-a-l-a,medium
فِقْهِ,f-i-q-h-i,medium
وَارْكَعُوا,w-aː-r-k-a-ʕ-uː,medium
نُفُوذِهَا,n-u-f-uː-ð-i-h-aː,medium
أَحَبُّوا,ʔ-a-ħ-a-b-b-uː,medium
نَتَأَمَّلَ,n-a-t-a-ʔ-a-m-m-a-l-a,medium
نَشَرَهَا,n-a-ʃ-a-r-a-h-aː,low
الْقَبْضُ,a-l-q-a-b-dˤ-u,medium
تَتَرَتَّبُ,t-a-t-a-r-a-t-t-a-b-u,low
بِالْقَصِّ,b-i-l-q-a-sˤ-sˤ-i,high
لِأَبْسَطِ,l-i-ʔ-a-b-s-a-tˤ-i,medium
وَتَشَدَّقَ,w-a-t-a-ʃ-a-d-d-a-q-a,medium
الْمُتَفَرِّقَةِ,a-l-m-u-t-a-f-a-r-r-i-q-a,medium
وَقُرَاب,w-a-q-u-r-aː-b,medium
تَبِعَكَ,t-a-b-i-ʕ-a-k-a,medium
وَحُبِرْت,w-a-ħ-u-b-i-r-t,medium
الْبَطَل,a-l-b-a-tˤ-a-l,medium
فَأَنَّى,f-a-ʔ-a-n-n-aː,medium
الْحَائِضُ,a-l-ħ-aː-ʔ-i-dˤ-u,high
الْقُرْآَنَ,a-l-q-u-r-ʔ-aː-n-a,medium
وَزَادَ,w-a-z-aː-d-a,low
يَكْفُلُ,j-a-k-f-u-l-u,low
أعْضَاءِ,ʔ-a-ʕ-dˤ-aː-ʔ-i,high
الْعَصَبِيُّ,a-l-ʕ-a-sˤ-a-b-i-j-j-u,medium
الْحِشْمَةَ,a-l-ħ-i-ʃ-m-a,medium
الْبَدِيهَةِ,a-l-b-a-d-iː-h-a,low
كُوبٍ,k-uː-b-i-n,low
الْمَشْرُوعَاتُ,a-l-m-a-ʃ-r-uː-ʕ-aː-t-u,medium
