difficulty,word,phonemes,Annotator 1 (Gadi),Annotator 2 (Sadouk),Note
low,???????????????????,a-l-l-i?-b-r-a?-l-i-j-j-i?-n-a,a-l-l-i?-b-r-a?-l-i-j-j-i?-n-a,a-l-l-i?-b-r-a?-l-i-j-j-i?-n-a,
low,????????????,w-a?-l-d-d-u-m-m-a-l-u,w-a-l-d-d-u-m-m-a-l-u,w-a-l-d-d-u-m-m-a-l-u,
low,????????????,a-s-s-a-n-a-w-i-j-j-i,a-s-s-a-n-a-w-i-j-j-i,a-s-s-a-n-a-w-i-j-j-i,
low,?????????????,a-l-i-n-t-i-s-a?-b-i,a-l-i-n-t-i-s-a?-b-i,a-l-i-n-t-i-s-a?-b-i,hamzat wa?l ? /i/ initial présent
low,??????????????,a-l-m-i-h-r-a-d?-a?-n-u,a-l-m-i-h-r-a-d?-a?-n-u,a-l-m-i-h-r-a-d?-a?-n-u,
low,?????????????,x-t-i-l-a?-l-a?-t-i-n,x-t-i-l-a?-l-a?-t-i-n,x-t-i-l-a?-l-a?-t-i-n,
low,???????,m-u-r-h-a-f,m-u-r-h-a-f,m-u-r-h-a-f,
low,?????????,m-a-j-a?-s-i-m-i,m-a-j-a?-s-i-m-i,m-a-j-a?-s-i-m-i,
low,??????????????,w-a?-l-m-a-k-s-i?-k-u,w-a-l-m-a-k-s-i?-k-u,w-a-l-m-a-k-s-i?-k-u,
low,??????????,m-i-k-s-i?-k-u?,m-i-k-s-i?-k-u?,m-i-k-s-i?-k-u?,
low,????????,t-a-s-k-u-n-u,t-a-s-k-u-n-u,t-a-s-k-u-n-u,
low,?????????????,w-a?-l-z-z-i-j-a?-d-a,w-a-l-z-z-i-j-a?-d-a,w-a-l-z-z-i-j-a?-d-a,
low,?????????,w-a-h-a-d-d-a-d-a,w-a-h-a-d-d-a-d-a,w-a-h-a-d-d-a-d-a,
low,????????,w-a-x-a-l-a-l-i-n,w-a-x-a-l-a-l-i-n,w-a-x-a-l-a-l-i-n,
low,????????????,a-l-d?-a-m-a?-h-i?-r-i,a-l-d?-a-m-a?-h-i?-r-i,a-l-d?-a-m-a?-h-i?-r-i,
low,??????????,w-a-n-a-x-t-i-m-u,w-a-n-a-x-t-i-m-u,w-a-n-a-x-t-i-m-u,
low,????????,?-a-k-a-k-t-u,?-a-k-a-k-t-u,?-a-k-a-k-t-u,
low,??????????????,w-a-j-u-r-?-i-d-u-h-u-m,w-a-j-u-r-?-i-d-u-h-u-m,w-a-j-u-r-?-i-d-u-h-u-m,
low,??????????,s-a-n-a-n-t-u-h-u,s-a-n-a-n-t-u-h-u,s-a-n-a-n-t-u-h-u,
low,???????,l-a-d-a-j-j-a,l-a-d-a-j-j-a,l-a-d-a-j-j-a,
low,????????????,w-a?-l-k-a-b-i?-r-i,w-a-l-k-a-b-i?-r-i,w-a-l-k-a-b-i?-r-i,
low,??????????,w-m-u-k-a?-k-u-h-u,w-a-m-u-k-a?-k-u-h-u,w-a-m-u-k-a?-k-u-h-u,waw n'a pas de tanwin. erreur de corpus. waw + fat?a ? /wa/ ; A1 manque /a/
low,????????,a-l-f-a-d?-a-r,a-l-f-a-d?-a-r,a-l-f-a-d?-a-r,
low,??????????,b-i-k-a-l-i-m-a,b-i-k-a-l-i-m-a,b-i-k-a-l-i-m-a,
low,???????,b-i-k-u-l-l-i-n,b-i-k-u-l-l-i-n,b-i-k-u-l-l-i-n,
low,????????????,t-a-x-a?-f-u?-h-u-m,t-a-x-a?-f-u?-h-u-m,t-a-x-a?-f-u?-h-u-m,
low,???????,h-u-m-u?-m-u,h-u-m-u?-m-u,h-u-m-u?-m-u,
medium,???????,q-u?,q-u?-w-w-a-t-a-n,q-u?-w-w-a-t-a-n,erreur du parser. A1 tronqué ; séquence complète : /qu?/ + shadda waw + ta marbu?a + fathatan
medium,????????????,l-?-a-s-t-a-h-j-i?,l-?-a-s-t-a-h-j-i?,l-?-a-s-t-a-h-j-i?,
medium,????????,w-a-z-u-?-a?-f,w-a-z-u-?-a?-f,w-a-z-u-?-a?-f,
medium,????????????,a-l-?-i-f-a?-d-a,a-l-?-i-f-a?-d-a,a-l-?-i-f-a?-d-a,
medium,?????????,f-u-q-a-h-a?-?-i,f-u-q-a-h-a?-?-i,f-u-q-a-h-a?-?-i,
medium,????????????,a-t-t-a-n-a?-?-u-m-a,a-t-t-a-n-a?-?-u-m-a,a-t-t-a-n-a?-?-u-m-a,
medium,??????,?-a-l-?-u,?-a-l-?-u,?-a-l-a?-?-u,erreur du parser. alef après lam = /a?/ ; A1 manque /a?/
medium,????????????????,a-l-?-u?-r-u?-b-i-j-j-a,a-l-?-u?-r-u?-b-i-j-j-a,a-l-?-u?-r-u?-b-i-j-j-a,
medium,????????,l-a-f-ð?-a,l-a-f-ð?-a,l-a-f-ð?-a,
medium,?????????,a-n-n-a-h-l-i,a-n-n-a-h-l-i,a-n-n-a-h-l-i,
medium,???????,ð-i-h-n-a-h,ð-i-h-n-a-h,ð-i-h-n-a-h,
medium,????????????,j-a-s-t-a-j-q-i-ð?-a,j-a-s-t-a-j-q-i-ð?-a,j-a-s-t-a-j-q-i-ð?-a,
medium,??????????,t-a-?-t-a-s?-i-m-u,t-a-?-t-a-s?-i-m-u,t-a-?-t-a-s?-i-m-u,
medium,????????????,a-l-?-a-n-i?-m-a,a-l-?-a-n-i?-m-a,a-l-?-a-n-i?-m-a,
medium,??????????,q-a?-d-i-r-i?-n-a,q-a?-d-i-r-i?-n-a,q-a?-d-i-r-i?-n-a,
medium,?????????,ð?-a?-h-i-r-a,ð?-a?-h-i-r-a,ð?-a?-h-i-r-a,
medium,?????????????,a-l-?-a-l-a?-q-a,a-l-?-a-l-a?-q-a,a-l-?-a-l-a?-q-a,
medium,??????????????,j-a-h-t-a?-d?-u?-n-a-h-u,j-a-h-t-a?-d?-u?-n-a-h-u,j-a-h-t-a?-d?-u?-n-a-h-u,
medium,?????????????,a-l-h-t-i-r-a?-z-i,a-l-i-h-t-i-r-a?-z-i,a-l-i-h-t-i-r-a?-z-i,erreur du parser. hamzat wa?l ? /i/ initial
medium,??????????,?-u-s?-u?-l-i-h-a?,?-u-s?-u?-l-i-h-a?,?-u-s?-u?-l-i-h-a?,
medium,????????,a-l-?-a-s?-a?,a-l-?-a-s?-a?,a-l-?-a-s?-a?,
medium,???????,?-a-n-w-a-k,?-a-n-w-a-k,?-a-n-w-a-k,
medium,???????????,w-a-h-a?-f-a-ð?-u?,w-a-h-a?-f-a-ð?-u?,w-a-h-a?-f-a-ð?-u?,
medium,???????????,m-u-d-a?-f-i-?-i-h-i,m-u-d-a?-f-i-?-i-h-i,m-u-d-a?-f-i-?-i-h-i,
medium,????????,w-a-f-u-r-i-d?-a,w-a-f-u-r-i-d?-a,w-a-f-u-r-i-d?-a,
medium,????????,k-a-t-a?-?-i-b,k-a-t-a?-?-i-b,k-a-t-a?-?-i-b,
medium,????????????,t-a-t-a-b-b-a-?-n-a?,t-a-t-a-b-b-a-?-n-a?,t-a-t-a-b-b-a-?-n-a?,
medium,?????????,a-s-s-a-m-?-a,a-s-s-a-m-?-a,a-s-s-a-m-?-a,
medium,???????????,w-a-?-a-q-i?-d-a,w-a-?-a-q-i?-d-a,w-a-?-a-q-i?-d-a,
medium,??????????,w-a?-l-t?-t?-u?-b-i,w-a-l-t?-t?-u?-b-i,w-a-l-t?-t?-u?-b-i,
medium,???????????,t-a-?-a-l-l-u-m-a-h-u,t-a-?-a-l-l-u-m-a-h-u,t-a-?-a-l-l-u-m-a-h-u,
medium,??????,?-a?-l-a?-t-i-n,?-a?-l-a?-t-i-n,?-a?-l-a?-t-i-n,
medium,???????????,a-n-n-a-w-a?-h-i-d?,a-n-n-a-w-a?-h-i-d?,a-n-n-a-w-a?-h-i-d?,
medium,?????????????,t-t-i-x-a?-ð-u-h-u-m-u,t-t-i-x-a?-ð-u-h-u-m-u,t-t-i-x-a?-ð-u-h-u-m-u,
medium,??????????,w-a-?-a?-d-a?-b-u-h-u,w-a-?-a?-d-a?-b-u-h-u,w-a-?-a?-d-a?-b-u-h-u,
medium,??????,q-a-l-i?-l,q-a-l-i?-l,q-a-l-i?-l,
medium,??????,?-a-b-i?-h,?-a-b-i?-h,?-a-b-i?-h,
medium,??????????,t-u-f-l-i-h-u?,t-u-f-l-i-h-u?,t-u-f-l-i-h-u?,
medium,????????,?-a-f-w-a?-h,?-a-f-w-a?-h,?-a-f-w-a?-h,
medium,????????????,a-l-?-i-l-a?-q-a,a-l-?-i-l-a?-q-a,a-l-?-i-l-a?-q-a,
medium,???????,?-a-s-b-a-l,?-a-s-b-a-l,?-a-s-b-a-l,
medium,???????????,r-a?-?-i-b-a-j-n-i,r-a?-?-i-b-a-j-n-i,r-a?-?-i-b-a-j-n-i,
medium,??????????,?-i-q-d-u-h-u-m,?-i-q-d-u-h-u-m,?-i-q-d-u-h-u-m,
medium,?????????????????,l-i-l-i-x-t-i-r-a?-?-a?-t-i,l-i-l-i-x-t-i-r-a?-?-a?-t-i,l-i-l-i-x-t-i-r-a?-?-a?-t-i,
medium,??????????,a-s?-s?-u?-m-l-u,a-s?-s?-u?-m-a?-l-u,a-s?-s?-u?-m-a?-l-u,erreur du parser. alef après mim = /a?/ ; A1 manque /a?/
medium,??????????????,b-i-l-q-a-d?-i-j-j-a,b-i-l-q-a-d?-i-j-j-a,b-i-l-q-a-d?-i-j-j-a,
medium,?????????????????,a-l-f-i-l-a-s-t?-i?-n-i-j-j-a,a-l-f-i-l-a-s-t?-i?-n-i-j-j-a,a-l-f-i-l-a-s-t?-i?-n-i-j-j-a,
medium,????????????,t-a-s?-a-r-r-u-f-a?-t-u,t-a-s?-a-r-r-u-f-a?-t-u,t-a-s?-a-r-r-u-f-a?-t-u,
medium,????????????,a-l-m-a-s-?-u?-l-a,a-l-m-a-s-?-u?-l-a,a-l-m-a-s-?-u?-l-a,
medium,???????????,b-a-l-l-a-?-u?-h-a?,b-a-l-l-a-?-u?-h-a?,b-a-l-l-a-?-u?-h-a?,
medium,????????,m-a-n-a-h-a-h-u,m-a-n-a-h-a-h-u,m-a-n-a-h-a-h-u,
medium,?????????????,a-l-h-t-i-f-a?-ð?-i,a-l-i-h-t-i-f-a?-ð?-i,a-l-i-h-t-i-f-a?-ð?-i,erreur du parser. hamzat wa?l ? /i/ initial
medium,??????,h-a-d?-i?-m,h-a-d?-i?-m,h-a-d?-i?-m,
medium,?????????,?-a-r-d?-u-h-a?,?-a-r-d?-u-h-a?,?-a-r-d?-u-h-a?,
medium,?????????,s?-a?-f-i-j-a,s?-a?-f-i-j-a,s?-a?-f-i-j-a,
medium,???????????,l-a-?-a-d?-a-z-n-a?,l-a-?-a-d?-a-z-n-a?,l-a-?-a-d?-a-z-n-a?,
medium,???????????,t-a-b-a-r-r-a-?-u?,t-a-b-a-r-r-a-?-u?,t-a-b-a-r-r-a-?-u?,
medium,?????????????????,a-l-m-a-n-t?-i-q-i-j-j-u?-n-a,a-l-m-a-n-t?-i-q-i-j-j-u?-n-a,a-l-m-a-n-t?-i-q-i-j-j-u?-n-a,
medium,??????????,a-l-q-a?-?-i-l-i,a-l-q-a?-?-i-l-i,a-l-q-a?-?-i-l-i,
medium,???????????????,a-t-t-a-?-a-s-s-u-f-i-j-j-u,a-t-t-a-?-a-s-s-u-f-i-j-j-u,a-t-t-a-?-a-s-s-u-f-i-j-j-u,
medium,??????????,w-a-n-u-?-m-i-n-u,w-a-n-u-?-m-i-n-u,w-a-n-u-?-m-i-n-u,
medium,????????,?-a-z-i?-z-a-n,?-a-z-i?-z-a-n,?-a-z-i?-z-a-n,
medium,???????,?-a-?-n-i?,?-a-?-n-i?,?-a-?-n-i?,
medium,?????????,j-u-s?-a-d-d-i-?-u,j-u-s?-a-d-d-i-?-u,j-u-s?-a-d-d-i-?-u,
medium,??????????,?-a-b-?-a?-d-a-n,?-a-b-?-a?-d-a-n,?-a-b-?-a?-d-a-n,
medium,??????,d?-u-m-i-?-a,d?-u-m-i-?-a,d?-u-m-i-?-a,
medium,?????????,?-a-s-b-a?-b-u-n,?-a-s-b-a?-b-u-n,?-a-s-b-a?-b-u-n,
medium,??????,s?-a?-?-i-n,s?-a?-?-i-n,s?-a?-?-i-n,
medium,???????????,m-a-d?-m-u?-?-a,m-a-d?-m-u?-?-a,m-a-d?-m-u?-?-a,
medium,????????,m-a-r-?-a?-t-u-h,m-a-r-?-a?-t-u-h,m-a-r-?-a?-t-u-h,
high,????????????,a-d?-d?-a-h-i-j-j-a,a-d?-d?-a-h-i-j-j-a,a-d?-d?-a-h-i-j-j-a,
high,????????,?-a-q-s-a-t?-u,?-a-q-s-a-t?-u,?-a-q-s-a-t?-u,
high,????????????,?-i-?-?-a?-?-u-h-a?,?-i-?-?-a?-?-u-h-a?,?-i-?-?-a?-?-u-h-a?,
high,??????????????,w-a?-l-q-a-t?-i?-?-a,w-a-l-q-a-t?-i?-?-a,w-a-l-q-a-t?-i?-?-a,
high,??????????,?-a-b-a-?-?-a-n-i?,?-a-b-a-?-?-a-n-i?,?-a-b-a-?-?-a-n-i?,
high,???????????,a-s?-s?-a-f-h-a,a-s?-s?-a-f-h-a,a-s?-s?-a-f-h-a,
high,???????,q-i-s?-s?-a,q-i-s?-s?-a,q-i-s?-s?-a,
high,?????????,w-j-u-?-a-ð-ð-i?,w-a-j-u-?-a-ð-ð-i?,w-a-j-u-?-a-ð?-ð?-i?,Erreur du corpus. waw sans tanwin. waw+fat?a ? /wa/ ; ?+shadda = /ð?ð?/ (emphatic) ; A1 manque /a/ et a /ð/ non emphatique
high,??????????,a-l-t?-t?-i-l-?-i,a-l-t?-t?-i-l-?-i,a-l-t?-t?-i-l-a?-?-i,alef après lam = /a?/ ; A1 manque /a?/
high,??????????????,b-i-l-?-i-s?-b-a?-h-i,b-i-l-?-i-s?-b-a?-h-i,b-i-l-?-i-s?-b-a?-h-i,
high,?????????,w-q-a-s?-a-?-t-u,w-a-q-a-s?-a-?-t-u,w-a-q-a-s?-a-?-t-u,Erreur du corpus. waw sans tanwin. waw+fat?a ? /wa/ ; A1 manque /a/
high,????????????,w-a-m-u-?-a-q-q-i-b,w-a-m-u-?-a-q-q-i-b-a-n,w-a-m-u-?-a-q-q-i-b-a-n,Erreur du parser. fathatan ? /an/ ; A1 manque /an/
high,????????????,w-a?-l-?-a-q-d-a?-h,w-a-l-?-a-q-d-a?-h,w-a?-l-?-a-q-d-a?-h,
high,?????????,f-a-q-i-s?-s?-a,f-a-q-i-s?-s?-a,f-a-q-i-s?-s?-a,
high,?????????,?-a-h-j-a?-?-u-n,?-a-h-j-a?-?-u-n,?-a-h-j-a?-?-u-n,
high,????????,?-a-t?-?-a-m-a,?-a-t?-?-a-m-a,?-a-t?-?-a-m-a,
high,???????????,l-i-l-?-a-t?-a?-?-i,l-i-l-?-a-t?-a?-?-i,l-i-l-?-a-t?-a?-?-i,
high,?????????,?-a-h-d-a?-?-a,?-a-h-d-a?-?-a,?-a-h-d-a?-?-a,
high,?????????????????,a-l-?-i-s?-l-a?-h-i-j-j-a,a-l-?-i-s?-l-a?-h-i-j-j-a,a-l-?-i-s?-l-a?-h-i-j-j-a,
high,?????????????,a-t?-t?-a?-?-i-n-i?-n-a,a-t?-t?-a?-?-i-n-i?-n-a,a-t?-t?-a?-?-i-n-i?-n-a,
